date,listingid,tokenid,breedcount,gender,bloodline,breedtype,energy,total_races,win,lose,speed,strength,wind,water,fire,lighting,canrace,canbreed,priceFloor,price,lastbreedtime,bornUsableBreed,bornUsableRace,minutesToSell
2022-02-15 23:59:44,181154,176444,0,Female,Hoz,Pacer,15,14,3,11,3.39,8.93,3.3,4.76,0.23,,1,0.0,996.8461538461538,1.1827301489312447,0,182561.0,-76639.0,11.6
2022-02-16 00:01:04,181150,69460,3,Female,Campona,Pacer,0,741,169,572,1.19,0.86,7.71,1.64,6.65,,1,1.0,996.8461538461538,0.7523728682768732,1643237038,-2420086.0,-2592886.0,13.166666666666666
2022-02-15 23:56:22,181149,176237,0,Male,Hoz,Pacer,2,26,5,21,0.63,4.75,5.56,3.14,0.88,,1,0.0,996.8461538461538,1.159657380970754,0,179939.0,-79261.0,9.433333333333334
2022-02-15 23:56:21,181139,186919,0,Male,Zan,Pacer,25,0,0,0,8.61,7.74,6.58,1.14,6.68,,0,0.0,996.8461538461538,1.0934485685623891,0,332692.0,332692.0,11.066666666666666
2022-02-15 23:53:57,181119,75423,3,Female,Hoz,Pacer,5,703,158,545,3.37,5.82,1.33,3.46,7.33,,1,1.0,996.8461538461538,0.7423412300331816,1643024724,-2217336.0,-2476536.0,14.6
2022-02-16 00:20:06,181264,165602,0,Male,Hoz,Pacer,9,89,18,71,3.33,2.96,3.56,6.78,6.16,,1,1.0,996.0,1.1546184738955825,0,-19770.0,-278970.0,1.3666666666666667
2022-02-16 00:21:33,181262,121134,2,Female,Hoz,Pacer,25,319,74,245,2.25,3.77,6.42,2.73,0.13,,1,1.0,996.0,0.7530120481927711,1644840050,-995701.0,-1254901.0,3.3333333333333335
2022-02-16 00:21:34,181261,128107,2,Female,Hoz,Pacer,25,279,64,215,5.27,4.03,8.78,1.93,1.82,,1,1.0,996.0,0.7530120481927711,1644840468,-844111.0,-1103311.0,3.3333333333333335
2022-02-16 00:19:03,181259,123755,2,Female,Hoz,Pacer,25,311,73,238,0.86,3.52,8.98,2.89,8.53,,1,1.0,996.0,0.7530120481927711,1644840468,-943414.0,-1202614.0,1.3666666666666667
2022-02-16 00:19:00,181250,125702,3,Female,Hoz,Pacer,17,324,73,251,4.33,7.07,4.61,3.82,7.62,,1,1.0,996.0,0.7469879518072289,1644763231,-900033.0,-1159233.0,3.1333333333333333
2022-02-16 00:16:48,181249,157176,0,Male,Hoz,Pacer,8,136,36,100,6.87,3.19,6.54,3.87,1.6,,1,1.0,996.0,1.2048192771084338,0,-202975.0,-462175.0,1.3333333333333333
2022-02-16 00:15:40,181248,149593,2,Male,Hoz,Pacer,25,158,36,122,3.73,5.7,8.4,1.0,7.08,,1,1.0,996.0,0.7028112449799196,1644699147,-369237.0,-628437.0,0.0
2022-02-16 00:20:05,181244,120831,3,Male,Hoz,Pacer,0,371,79,292,8.48,1.94,7.78,6.08,8.14,,1,1.0,996.0,0.7469879518072289,1644342317,-1000382.0,-1259582.0,6.166666666666667
2022-02-16 00:19:01,181239,156356,1,Female,Hoz,Pacer,1,152,34,118,8.0,7.84,1.83,4.64,0.85,,1,0.0,996.0,0.9538152610441768,1644901077,-217415.0,-476615.0,5.733333333333333
2022-02-16 00:15:44,181234,139042,2,Female,Zan,Pacer,9,182,40,142,5.15,0.58,6.08,7.07,1.96,,1,0.0,996.0,0.7449799196787149,1644812293,-611958.0,-611958.0,4.1
2022-02-16 00:15:43,181232,51652,3,Female,Klin,Pacer,0,872,194,678,0.31,1.23,3.47,2.84,8.91,,1,1.0,996.0,0.7429718875502008,1643121048,-3246993.0,-3333393.0,4.633333333333334
2022-02-16 00:14:37,181228,137957,2,Male,Hoz,Pacer,7,264,67,197,4.23,7.22,8.09,7.01,1.12,,1,1.0,996.0,0.8775100401606426,1644616544,-639092.0,-898292.0,4.6
2022-02-16 00:16:49,181225,153307,1,Male,Hoz,Pacer,21,152,41,111,3.51,6.53,3.58,8.9,1.46,,1,0.0,996.0,0.9538152610441768,1644901077,-286696.0,-545896.0,7.566666666666666
2022-02-16 00:12:01,181222,75671,3,Female,Hoz,Pacer,18,685,145,540,6.57,7.45,2.73,7.46,5.51,,1,1.0,996.0,0.7479919678714859,1642946953,-2209220.0,-2468420.0,4.533333333333333
2022-02-16 00:08:22,181219,186950,0,Female,Hoz,Pacer,25,0,0,0,8.18,6.39,4.69,7.95,7.94,,0,0.0,996.0,1.3052208835341366,0,333153.0,73953.0,1.2333333333333334
2022-02-16 00:10:40,181218,36580,3,Male,Campona,Pacer,25,1209,264,945,6.91,5.96,5.84,7.61,6.7,,1,1.0,996.0,0.7479919678714859,1641383422,-4364003.0,-4536803.0,3.466666666666667
